t=2026-05-04T00:36:31+0530 lvl=info msg="no configuration paths supplied"
t=2026-05-04T00:36:31+0530 lvl=info msg="using configuration at default config path" path="/Users/parth/Library/Application Support/ngrok/ngrok.yml"
t=2026-05-04T00:36:31+0530 lvl=info msg="open config file" path="/Users/parth/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-05-04T00:40:59+0530 lvl=info msg="join connections" obj=join id=28927bfebfe1 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:59+0530 lvl=info msg="join connections" obj=join id=5da28a5ebcdd l=[::1]:5173 r=[2a09:bac2:3b78:1aaa::2a8:19]:55030
t=2026-05-04T00:40:59+0530 lvl=info msg="join connections" obj=join id=05a755faf397 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:59+0530 lvl=info msg="join connections" obj=join id=76aafec5a88f l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:40:59+0530 lvl=info msg="join connections" obj=join id=0aa3100ba263 l=[::1]:5173 r=[2a09:bac3:3b7b:1a96::2a6:4f]:17472
t=2026-05-04T00:41:19+0530 lvl=info msg="join connections" obj=join id=1d4996a6c244 l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
t=2026-05-04T00:41:19+0530 lvl=info msg="join connections" obj=join id=272fca1a5f7d l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
t=2026-05-04T00:41:19+0530 lvl=info msg="join connections" obj=join id=410ca6092fd5 l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
t=2026-05-04T00:41:19+0530 lvl=info msg="join connections" obj=join id=2b23a306607e l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
t=2026-05-04T00:41:19+0530 lvl=info msg="join connections" obj=join id=a16d777e698f l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
t=2026-05-04T00:41:19+0530 lvl=info msg="join connections" obj=join id=4c11324a1fe1 l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
t=2026-05-04T00:41:19+0530 lvl=info msg="join connections" obj=join id=3b4e26d11a57 l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
t=2026-05-04T00:41:19+0530 lvl=info msg="join connections" obj=join id=1369ce370dcd l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
t=2026-05-04T00:41:19+0530 lvl=info msg="join connections" obj=join id=808c3e445f67 l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
t=2026-05-04T00:41:19+0530 lvl=info msg="join connections" obj=join id=f0ec36da10bd l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
t=2026-05-04T00:41:19+0530 lvl=info msg="join connections" obj=join id=7317c2a2015e l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
